group_id,user_id,joined
gid-6388932896315365404,uid-1639630007477671789,2014-09-19T09:57:35
gid-8763806995619969054,uid-16644578292002908,2015-01-22T12:34:24
gid-8763806995619969054,uid-16644578292002909,2015-01-22T16:11:45
gid-8763806995619969054,uid-16644578292002910,2015-01-22T19:40:58
gid-8763806995619969054,uid-192598823043903752,2015-01-03T03:33:31
gid-8763806995619969054,uid-192598823043903755,2015-01-07T22:36:51
gid-8763806995619969054,uid-251136562000336651,2015-02-04T12:33:24
gid-8763806995619969054,uid-590699782026937541,2015-01-27T13:11:13
gid-8763806995619969054,uid-590699782026937542,2015-01-28T19:51:23
gid-8763806995619969054,uid-590699782026937544,2015-01-27T20:17:06
gid-8763806995619969054,uid-590699782026937545,2015-01-27T20:30:12
gid-8763806995619969054,uid-590699782026937547,2015-01-29T02:59:30
gid-8763806995619969054,uid-756331228859345129,2014-12-21T02:20:26
gid-8763806995619969054,uid-861997319951321133,2015-01-03T16:33:36
gid-8763806995619969054,uid-861997319951321134,2015-01-03T17:38:06
gid-8763806995619969054,uid-861997319951321135,2015-01-03T23:16:32
gid-8763806995619969054,uid-861997319951321136,2015-01-04T00:45:15
gid-8763806995619969054,uid-861997319951321138,2015-01-04T00:47:57
gid-8763806995619969054,uid-861997319951321140,2015-01-04T04:37:43
gid-8763806995619969054,uid-866622179996381272,2015-01-05T20:01:23
gid-8763806995619969054,uid-866622179996381276,2015-01-06T00:19:39
gid-8763806995619969054,uid-942677281430279358,2014-12-29T18:50:08
gid-8763806995619969054,uid-942677281430279359,2014-12-30T03:25:06
gid-8763806995619969054,uid-942677281430279361,2015-01-27T08:50:13
gid-8763806995619969054,uid-942677281430279362,2015-01-02T13:51:45
gid-8763806995619969054,uid-942677281430279365,2015-01-02T17:50:46
gid-8763806995619969054,uid-942677281430279370,2015-01-03T13:45:10
gid-8763806995619969054,uid-942677281430279371,2015-01-03T13:59:03
gid-8763806995619969054,uid-942677281430279372,2015-01-03T14:46:10
gid-8763806995619969054,uid-942677281430279373,2015-01-03T15:25:54
gid-8763806995619969054,uid-1123746496894857128,2014-12-15T21:46:37
gid-8763806995619969054,uid-1123746496894857129,2014-12-16T06:30:36
gid-8763806995619969054,uid-1123746496894857130,2014-12-15T21:53:04
gid-8763806995619969054,uid-1123746496894857131,2014-12-16T17:25:25
gid-8763806995619969054,uid-1657897923691064028,2015-01-14T21:47:44
gid-8763806995619969054,uid-1657897923691064034,2015-01-15T14:54:28
gid-8763806995619969054,uid-1657897923691064039,2015-01-15T16:55:23
gid-8763806995619969054,uid-1657897923691064056,2015-01-16T23:36:32
gid-8763806995619969054,uid-1657897923691064070,2015-01-21T11:07:27
gid-8763806995619969054,uid-1657897923691064072,2015-02-05T15:19:47
gid-8763806995619969054,uid-1917035256310762356,2014-11-19T15:09:17
gid-8763806995619969054,uid-1930520619170128824,2015-02-03T20:06:39
gid-8763806995619969054,uid-2031115705546437912,2015-01-29T23:52:54
gid-8763806995619969054,uid-2350789765717880243,2014-12-03T00:44:00
gid-8763806995619969054,uid-2439379794235606327,2015-02-05T16:37:34
gid-8763806995619969054,uid-2553235734972705919,2015-01-05T03:53:49
gid-8763806995619969054,uid-2574738995880809443,2015-01-11T07:15:09
gid-8763806995619969054,uid-2574738995880809444,2015-01-11T07:05:37
gid-8763806995619969054,uid-2574738995880809449,2015-01-12T00:44:22
gid-8763806995619969054,uid-2574738995880809451,2015-01-13T16:37:42
gid-8763806995619969054,uid-2812161522626684374,2014-12-26T19:06:13
gid-8763806995619969054,uid-2812161522626684375,2014-12-26T19:10:09
gid-8763806995619969054,uid-2812161522626684376,2014-12-26T19:17:50
gid-8763806995619969054,uid-2812161522626684377,2014-12-26T19:21:53
gid-8763806995619969054,uid-2812161522626684378,2014-12-26T20:38:11
gid-8763806995619969054,uid-2812161522626684379,2014-12-26T21:50:19
gid-8763806995619969054,uid-2812161522626684380,2014-12-26T22:30:52
gid-8763806995619969054,uid-2812161522626684381,2014-12-26T22:55:45
gid-8763806995619969054,uid-2812161522626684382,2014-12-27T00:01:48
gid-8763806995619969054,uid-2812161522626684383,2014-12-27T16:07:35
gid-8763806995619969054,uid-2812161522626684384,2014-12-27T19:56:13
gid-8763806995619969054,uid-2812161522626684385,2014-12-28T06:56:34
gid-8763806995619969054,uid-2812161522626684386,2014-12-28T21:06:44
gid-8763806995619969054,uid-2812161522626684387,2014-12-29T01:37:30
gid-8763806995619969054,uid-2812161522626684388,2014-12-29T01:38:25
gid-8763806995619969054,uid-2907186228649089364,2015-01-23T12:15:35
gid-8763806995619969054,uid-2949346960140345930,2015-02-05T11:07:31
gid-8763806995619969054,uid-2949346960140345934,2014-12-23T07:54:27
gid-8763806995619969054,uid-2952284496566719961,2014-12-13T18:17:14
gid-8763806995619969054,uid-3317374428007345616,2015-01-10T02:02:30
gid-8763806995619969054,uid-3660798334728526423,2014-12-21T13:36:37
gid-8763806995619969054,uid-3660798334728526426,2014-12-23T19:44:10
gid-8763806995619969054,uid-3660798334728526428,2014-12-24T11:26:07
gid-8763806995619969054,uid-3685306948218031670,2015-01-08T04:33:27
gid-8763806995619969054,uid-3685306948218031684,2015-01-09T17:59:43
gid-8763806995619969054,uid-3685306948218031685,2015-01-09T23:31:46
gid-8763806995619969054,uid-3688118382361809282,2015-01-19T23:25:17
gid-8763806995619969054,uid-3688118382361809288,2015-01-21T11:42:37
gid-8763806995619969054,uid-3883406369967967232,2014-12-05T22:40:48
gid-8763806995619969054,uid-3883406369967967233,2014-12-05T23:42:20
gid-8763806995619969054,uid-3883406369967967234,2014-12-06T04:30:18
gid-8763806995619969054,uid-3883406369967967237,2014-12-06T20:08:26
gid-8763806995619969054,uid-3883406369967967238,2014-12-06T20:16:50
gid-8763806995619969054,uid-3883406369967967239,2014-12-06T20:46:54
gid-8763806995619969054,uid-3883406369967967240,2014-12-06T20:48:55
gid-8763806995619969054,uid-3883406369967967242,2014-12-07T04:48:51
gid-8763806995619969054,uid-3883406369967967245,2014-12-08T23:22:14
gid-8763806995619969054,uid-3883406369967967249,2015-01-10T22:17:58
gid-8763806995619969054,uid-3883406369967967253,2015-01-08T15:57:19
gid-8763806995619969054,uid-3883406369967967259,2014-12-11T02:58:04
gid-8763806995619969054,uid-3943492482077847893,2015-01-27T02:05:47
gid-8763806995619969054,uid-4264527757916383692,2015-01-13T21:41:51
gid-8763806995619969054,uid-4453463485607711117,2014-12-26T17:19:42
gid-8763806995619969054,uid-4453463485607711118,2014-12-26T17:56:05
gid-8763806995619969054,uid-4453463485607711119,2014-12-26T19:04:27
gid-8763806995619969054,uid-4453463485607711120,2014-12-26T19:39:18
gid-8763806995619969054,uid-4453463485607711121,2014-12-26T19:41:31
gid-8763806995619969054,uid-4453463485607711122,2014-12-26T20:34:09
gid-8763806995619969054,uid-4453463485607711123,2014-12-27T03:09:23
gid-8763806995619969054,uid-4453463485607711124,2014-12-28T19:33:08
gid-8763806995619969054,uid-4453463485607711126,2014-12-29T22:36:02
gid-8763806995619969054,uid-4453463485607711131,2014-12-31T14:35:33
gid-8763806995619969054,uid-4453463485607711133,2015-01-04T01:42:46
gid-8763806995619969054,uid-4514055893276165066,2014-12-27T13:40:39
gid-8763806995619969054,uid-4514055893276165067,2014-12-31T02:24:11
